ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
00287al4	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･もろえみこ	00005lus	はなさかじいさん	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
00287aky	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･かまだこうこ	00005lut	シンデレラ	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akm	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	かさやゆきふみ･もろえみこ	00005luu	ウサギとカメ	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287ako	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	かさやゆきふみ･もろえみこ	00005luv	きたかぜとたいよう	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akw	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･かまだこうこ	00005luw	おむすびころりん	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akk	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	いとうひろあき･イワミ*カイ	00005sxs	あかずきん	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287al2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･みやかわさとこ	00005sxt	ゆきのじょおう	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287aku	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･いとうえみ	00005tk9	みにくいあひるのこ	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287aks	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･いとうえみ	00005tka	ピノキオ	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akq	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･YOCTO	00005tkc	いなばのしろうさぎ	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
00287al0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･ふじたかよこ	00005tkf	はだかのおうさま	EPUB3.0	汎用	DL	1	本編	○	○	○	1000	無期限	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
00287al3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･もろえみこ	00005lus	はなさかじいさん	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
